"stolen_date","brand","model","color","stolen_from","recovery","Year","Month","Day"
"10/10/2018","CESKA ZBROJOVKA",".32ACP","BLU","PARKING LOT/GARAGE","NOT RECOVERED","2018","10","10"
"09/28/2018","WALTHER","PPX","BLK","RESIDENCE","NOT RECOVERED","2018","09","28"
"09/28/2018","NORNICO","MAC 91","BLK","RESIDENCE","NOT RECOVERED","2018","09","28"
"09/28/2018","SAIGA",NA,"BLK","RESIDENCE","RECOVERED OTHER","2018","09","28"
"09/11/2018","RUGER","SR40","BLK","HOTEL/MOTEL","NOT RECOVERED","2018","09","11"
"08/29/2018",NA,"PARATROOPER",NA,"RESIDENCE","NOT RECOVERED","2018","08","29"
"08/29/2018","RUGER","SUPER REDHAWK",NA,"RESIDENCE","NOT RECOVERED","2018","08","29"
"08/29/2018","MAKAROV",NA,"BLK","RESIDENCE","NOT RECOVERED","2018","08","29"
"08/29/2018","TAURUS",NA,NA,"RESIDENCE","NOT RECOVERED","2018","08","29"
"08/29/2018",NA,NA,"BLK","RESIDENCE","NOT RECOVERED","2018","08","29"
"08/29/2018","JENNINGS",NA,NA,"RESIDENCE","NOT RECOVERED","2018","08","29"
"08/29/2018","DUCKTOWN",NA,"BLK","RESIDENCE","NOT RECOVERED","2018","08","29"
"08/29/2018","ROUGH RIDER",NA,"BLK","RESIDENCE","NOT RECOVERED","2018","08","29"
"08/21/2018","WINCHESTER",NA,"BLK","RESIDENCE","NOT RECOVERED","2018","08","21"
"08/01/2018","COLT",NA,NA,"RESIDENCE","NOT RECOVERED","2018","08","01"
"07/30/2018","RUGER","EC9S","BLK","SPECIALITY STORE","NOT RECOVERED","2018","07","30"
"06/25/2018","BERETTA","PX4",NA,"RESIDENCE","RECOVERED LOCALLY","2018","06","25"
"05/12/2018","SIG SAVER EQUIN","P238","BLK","RESIDENCE","NOT RECOVERED","2018","05","12"
"04/03/2018","MOSSBERG",NA,NA,"RESIDENCE","NOT RECOVERED","2018","04","03"
"03/26/2018","EAA","EA 9MM","PNK","RESIDENCE","NOT RECOVERED","2018","03","26"
"03/26/2018",NA,NA,NA,"RESIDENCE","NOT RECOVERED","2018","03","26"
"03/24/2018","COBRA",".380","BLK","RESIDENCE","NOT RECOVERED","2018","03","24"
"03/01/2018","GLOCK","27","BLK","RESIDENCE","NOT RECOVERED","2018","03","01"
"03/01/2018","SMITH AND WESSO","M&P SHIELD","BLK","RESIDENCE","NOT RECOVERED","2018","03","01"
"03/01/2018","TAURUS","PJ 24/7 G2","BLK","RESIDENCE","NOT RECOVERED","2018","03","01"
"02/24/2018","GLOCK","MODEL 23","BLK","RESIDENCE","NOT RECOVERED","2018","02","24"
"02/15/2018","WALTHER","PPK 380 CAL","BLK","RESIDENCE","NOT RECOVERED","2018","02","15"
"02/03/2018","TAURUS","PT840 840BC","BLK","RESIDENCE","NOT RECOVERED","2018","02","03"
"01/27/2018","GLOCK","GEN 4 40 .45ACP",NA,"RESIDENCE","NOT RECOVERED","2018","01","27"
"01/23/2018","COLT","M4 5.56 CAL",NA,"RESIDENCE","NOT RECOVERED","2018","01","23"
"01/23/2018","WINCHESTER","30-30",NA,"RESIDENCE","NOT RECOVERED","2018","01","23"
"01/23/2018","MOSSBERG","715T",NA,"RESIDENCE","NOT RECOVERED","2018","01","23"
"01/23/2018","RUGER",NA,NA,"RESIDENCE","NOT RECOVERED","2018","01","23"
"01/23/2018","SMITH & WESSON",NA,NA,"RESIDENCE","NOT RECOVERED","2018","01","23"
"01/23/2018","COLT","COMMANDR 1991A1",NA,"RESIDENCE","NOT RECOVERED","2018","01","23"
"01/23/2018","TASCO","PRO POINT 3",NA,"RESIDENCE","NOT RECOVERED","2018","01","23"
"01/23/2018","TASCO",NA,NA,"RESIDENCE","NOT RECOVERED","2018","01","23"
"01/23/2018","MAKAROV",NA,NA,"RESIDENCE","NOT RECOVERED","2018","01","23"
"01/23/2018","COLT","WOODSMAN",NA,"RESIDENCE","NOT RECOVERED","2018","01","23"
"01/09/2018","WALTHER","CREED","BLK","RESIDENCE","NOT RECOVERED","2018","01","09"
"01/04/2018","SCCY","CPX 9MM","SIL","RESIDENCE","NOT RECOVERED","2018","01","04"
"01/03/2018","REMINGTON","870 EXPRESS",NA,"RESIDENCE","NOT RECOVERED","2018","01","03"
"12/26/2017","GLOCK 19","GENERATION 5 9M",NA,"RESIDENCE","NOT RECOVERED","2017","12","26"
"12/19/2017","HARRINGTON & RI","12 GA SHOTGUN",NA,"RESIDENCE","NOT RECOVERED","2017","12","19"
"12/11/2017","TAURUS","MILLENNIUM G2",NA,"RESIDENCE","RECOVERED LOCALLY","2017","12","11"
"12/08/2017","TAURUS","P2111 9MM",NA,"RESIDENCE","NOT RECOVERED","2017","12","08"
"12/08/2017","GLOCK","23 .40 CALIBER",NA,"RESIDENCE","NOT RECOVERED","2017","12","08"
"12/08/2017",NA,NA,NA,"RESIDENCE","NOT RECOVERED","2017","12","08"
"12/02/2017","GLOCK","B19","BLK","RESIDENCE","RECOVERED LOCALLY","2017","12","02"
"11/22/2017","COLT","38 SPECIAL","BLU","SPECIALITY STORE","NOT RECOVERED","2017","11","22"
"10/29/2017","WALTHER","P99","BLK","RESIDENCE","RECOVERED OTHER","2017","10","29"
"10/27/2017","KEL-TEC",NA,NA,"RESIDENCE","RECOVERED LOCALLY","2017","10","27"
"10/27/2017","RUGER","AR-15",NA,"RESIDENCE","RECOVERED LOCALLY","2017","10","27"
"10/27/2017","RUGER",NA,NA,"RESIDENCE","RECOVERED LOCALLY","2017","10","27"
"10/27/2017","REMINGTON","870",NA,"RESIDENCE","NOT RECOVERED","2017","10","27"
"10/27/2017","RUGER",NA,NA,"RESIDENCE","NOT RECOVERED","2017","10","27"
"10/27/2017","RUGER",NA,NA,"RESIDENCE","NOT RECOVERED","2017","10","27"
"10/09/2017","TAURUS","PT809","BLK","RESIDENCE","NOT RECOVERED","2017","10","09"
"09/24/2017","RUGER","SAVAGE 22",NA,"RESIDENCE","NOT RECOVERED","2017","09","24"
"09/20/2017",NA,NA,NA,"RESIDENCE","NOT RECOVERED","2017","09","20"
"09/14/2017","COBRA",".380",NA,"RESIDENCE","RECOVERED LOCALLY","2017","09","14"
"09/09/2017","RUGER","LCR .38 SPECIAL","BLK","HOTEL/MOTEL","NOT RECOVERED","2017","09","09"
"09/09/2017","SAR","K2JP 9MM","BLK","RESIDENCE","RECOVERED OTHER","2017","09","09"
"09/08/2017","WALTHER","P99 9MM","BLK","SPECIALITY STORE","RECOVERED OTHER","2017","09","08"
"08/08/2017","WELLS FARGO",NA,NA,"SPECIALITY STORE","NOT RECOVERED","2017","08","08"
"07/19/2017","SMITH & WESSON","38 AIRWEIGHT","BLK","DEPARTMENT/DISCOUNT STORE","NOT RECOVERED","2017","07","19"
"07/18/2017","BERETTA","M9 9MM","BLK","RESIDENCE","NOT RECOVERED","2017","07","18"
"07/09/2017","FIRESTART","9MM",NA,"RENTAL STORAGE FACILITY","NOT RECOVERED","2017","07","09"
"07/09/2017","WALTHER P22",NA,NA,"RENTAL STORAGE FACILITY","NOT RECOVERED","2017","07","09"
"07/09/2017","WALTHER PK 380",NA,"BLK","RENTAL STORAGE FACILITY","NOT RECOVERED","2017","07","09"
"07/05/2017","SMITH & WESSON","M&P SHIELD 9MM","BLK","RESIDENCE","NOT RECOVERED","2017","07","05"
"06/29/2017","SMITH & WESSON",NA,NA,NA,"RECOVERED OTHER","2017","06","29"
"06/26/2017","HIGHPOINT","380","BLK","RESIDENCE","RECOVERED OTHER","2017","06","26"
"06/20/2017","BERETTA","TOMCAT","BLK","COMMERCIAL/OFFICE BUILDING","NOT RECOVERED","2017","06","20"
"06/15/2017","SCCY","9MM SEMI AUTO","BLK","RESTAURANT","NOT RECOVERED","2017","06","15"
"04/24/2017","RUGER","9MM","SIL","RESIDENCE","NOT RECOVERED","2017","04","24"
"04/23/2017","RUGER","03600",NA,"RESIDENCE","RECOVERED LOCALLY","2017","04","23"
"04/22/2017","SMITH & WESSON",NA,"BLK","BAR/NIGHTCLUB","NOT RECOVERED","2017","04","22"
"04/16/2017","REMINGTON","12 GAUGE SHOTGU","BLK","HOTEL/MOTEL","NOT RECOVERED","2017","04","16"
"04/06/2017","SMITH & WESSON","WALTHER 380","SIL","RESIDENCE","NOT RECOVERED","2017","04","06"
"03/29/2017","SCAR 17",NA,"BLK","RESIDENCE","RECOVERED OTHER","2017","03","29"
"03/29/2017","AU 47",NA,"BLK","RESIDENCE","RECOVERED OTHER","2017","03","29"
"03/29/2017","GLOCK","19","BLK","RESIDENCE","RECOVERED OTHER","2017","03","29"
"03/29/2017","REMINGJTON","SHOT GUN","BLK","RESIDENCE","RECOVERED OTHER","2017","03","29"
"03/29/2017","AERIAL PRECISIO","AR 15",NA,"RESIDENCE","RECOVERED OTHER","2017","03","29"
"03/21/2017","TAURUS","PQ111","BLK","RESIDENCE","RECOVERED LOCALLY","2017","03","21"
"03/13/2017","GLOCK 19","GEN 4","BLK","RESIDENCE","RECOVERED LOCALLY","2017","03","13"
"03/11/2017","SMITH & WESSON",NA,NA,"RESIDENCE","NOT RECOVERED","2017","03","11"
"03/02/2017","RUGER","SR 9MM","BLK","GOVERNMENT/PUBLIC BUILDING","RECOVERED OTHER","2017","03","02"
"02/12/2017","WALTHER PPKS",".380",NA,"COMMERCIAL/OFFICE BUILDING","NOT RECOVERED","2017","02","12"
"02/05/2017","SPRINGFIELD","XDMWOE192","BLK","RESIDENCE","NOT RECOVERED","2017","02","05"
"01/31/2017",NA,NA,NA,"RESIDENCE","NOT RECOVERED","2017","01","31"
"01/31/2017",NA,NA,NA,"RESIDENCE","NOT RECOVERED","2017","01","31"
"01/22/2017","TAURUS",NA,"BLK","RESIDENCE","RECOVERED OTHER","2017","01","22"
"01/12/2017",NA,"BOLT ACTIION SH",NA,"RESIDENCE","NOT RECOVERED","2017","01","12"
"12/18/2016",NA,"SHOTGUN","BRO","RESIDENCE","NOT RECOVERED","2016","12","18"
"12/09/2016","COBRA",".380","BLK","RESIDENCE","RECOVERED OTHER","2016","12","09"
"12/07/2016","SMITH & WESSON",NA,NA,"DRUG STORE/DR OFFICE/HOSPITAL","NOT RECOVERED","2016","12","07"
"11/18/2016","TAURUS","85UL","SIL","RESIDENCE","NOT RECOVERED","2016","11","18"
"11/07/2016","SIG SAUER","P290",NA,"RESIDENCE","RECOVERED OTHER","2016","11","07"
"10/27/2016","TAURUS","PT111G2","BLK","RESIDENCE","RECOVERED OTHER","2016","10","27"
"10/25/2016","SMITH AND WESSO","SD9VE",NA,"RESIDENCE","RECOVERED OTHER","2016","10","25"
"09/17/2016","SMITH & WESSON","M&P 9MM","BLK","RESTAURANT","RECOVERED OTHER","2016","09","17"
"09/16/2016","GLOCK","27 GEN 3  40 CA",NA,"RESIDENCE","NOT RECOVERED","2016","09","16"
"09/01/2016","MOSSBURG","500","BLK","RESIDENCE","RECOVERED LOCALLY","2016","09","01"
"09/01/2016",".22 MARLIN","25",NA,"RESIDENCE","RECOVERED LOCALLY","2016","09","01"
"08/12/2016","SMITH & WESSON",NA,"SIL","RESIDENCE","NOT RECOVERED","2016","08","12"
"08/11/2016","KIMBER","CUSTOM II","RED","RESIDENCE","NOT RECOVERED","2016","08","11"
"07/24/2016","BARETTA","PX4","BLK","HIGHWAY/ROAD/ALLEY","NOT RECOVERED","2016","07","24"
"07/18/2016","GLOCK","G30","BLK","RESIDENCE","NOT RECOVERED","2016","07","18"
"07/18/2016","TAURUS","PT92SS","BLK","RESIDENCE","NOT RECOVERED","2016","07","18"
"07/02/2016","SMITH & WESSON","MP SHIELD","BLK","DRUG STORE/DR OFFICE/HOSPITAL","NOT RECOVERED","2016","07","02"
"07/01/2016","BERETTA",NA,"BLK","RESIDENCE","NOT RECOVERED","2016","07","01"
"06/29/2016","N AMERICAN ARMS",NA,"SIL","RESIDENCE","NOT RECOVERED","2016","06","29"
"06/28/2016","TAURUS","357","BLK","RESIDENCE","RECOVERED OTHER","2016","06","28"
"06/28/2016","TITAN","TIGER","BLK","COMMERCIAL/OFFICE BUILDING","NOT RECOVERED","2016","06","28"
"06/27/2016","GLOCK","9MM 19","BLK","RESIDENCE","RECOVERED OTHER","2016","06","27"
"06/26/2016","SMITH & WESSON","SHIELD","GRY","RESIDENCE","RECOVERED OTHER","2016","06","26"
"06/26/2016","MARLIN","RIFLE","GRY","RESIDENCE","RECOVERED LOCALLY","2016","06","26"
"06/22/2016","SMITH & WESSON","MMP 45","BLK","PARKING LOT/GARAGE","NOT RECOVERED","2016","06","22"
"06/14/2016","RUGER","MARK 1","BLK","RESIDENCE","NOT RECOVERED","2016","06","14"
"06/13/2016","RUGER LCR 357","05450","BLK","RESIDENCE","NOT RECOVERED","2016","06","13"
"06/04/2016","MAGNUM 357","19",NA,"RESTAURANT","NOT RECOVERED","2016","06","04"
"06/01/2016","TAURUS","MILLENNIUM G2",NA,"RESIDENCE","NOT RECOVERED","2016","06","01"
"05/29/2016","GLOCK",NA,NA,"RESIDENCE","NOT RECOVERED","2016","05","29"
"05/26/2016","HI POINT","C9 9MM","BLK","RESIDENCE","NOT RECOVERED","2016","05","26"
"05/11/2016","SMITH & WESSON","M&P 9MM",NA,"DRUG STORE/DR OFFICE/HOSPITAL","NOT RECOVERED","2016","05","11"
"04/28/2016","FMJ","DERRINGER",NA,"RESIDENCE","NOT RECOVERED","2016","04","28"
"04/08/2016","BUSHMASTER","CARBON-15",NA,"RESIDENCE","NOT RECOVERED","2016","04","08"
"04/08/2016","GLOCK","17",NA,"RESIDENCE","RECOVERED OTHER","2016","04","08"
"04/08/2016","KEL-TEC","PMR-30",NA,"RESIDENCE","RECOVERED OTHER","2016","04","08"
"04/08/2016",NA,"AK-47",NA,"RESIDENCE","NOT RECOVERED","2016","04","08"
"04/02/2016","EAA",NA,"BLK","RESIDENCE","RECOVERED LOCALLY","2016","04","02"
"03/18/2016","HENRY ARMS",".17 CALIBRE",NA,"RESIDENCE","RECOVERED LOCALLY","2016","03","18"
"02/23/2016","HIGHPOINT","CARBINE",NA,"RESIDENCE","RECOVERED LOCALLY","2016","02","23"
"02/23/2016","RUGAR",NA,NA,"RESIDENCE","RECOVERED LOCALLY","2016","02","23"
"02/08/2016","TAURUS","PT740 SLIM",NA,"RESIDENCE","NOT RECOVERED","2016","02","08"
"01/24/2016","CENTURY ARMS","M92",NA,"RESIDENCE","RECOVERED LOCALLY","2016","01","24"
"01/15/2016","JENNINGS J22",NA,"COM","RESIDENCE","NOT RECOVERED","2016","01","15"
"01/06/2016","HI POINT","9MM","BLK","RESIDENCE","RECOVERED LOCALLY","2016","01","06"
